ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-10-16,2745.3922766129117,-3044.045531845202,1060.661935026419,2745.3922766129117,2745.3922766129117,-3895.576351132861,-3895.576351132861,-3895.576351132861,-3373.559935974716,-3373.559935974716,-3373.559935974716,-522.0164151581445,-522.0164151581445,-522.0164151581445,0.0,0.0,0.0,-1150.1840745199493
2011-10-17,2747.1488329524436,1098.1915202476398,5057.363923280146,2747.1488329524436,2747.1488329524436,334.4515592857728,334.4515592857728,334.4515592857728,869.4816339486398,869.4816339486398,869.4816339486398,-535.030074662867,-535.030074662867,-535.030074662867,0.0,0.0,0.0,3081.6003922382165
2011-10-18,2748.9053892919756,1272.931515022486,5185.911740821188,2748.9053892919756,2748.9053892919756,475.5729632433239,475.5729632433239,475.5729632433239,1009.1670890571485,1009.1670890571485,1009.1670890571485,-533.5941258138246,-533.5941258138246,-533.5941258138246,0.0,0.0,0.0,3224.4783525352996
2011-10-19,2750.6619456315075,1110.3178095717763,5308.814271180096,2750.6619456315075,2750.6619456315075,447.7823933655277,447.7823933655277,447.7823933655277,965.1340196327211,965.1340196327211,965.1340196327211,-517.3516262671934,-517.3516262671934,-517.3516262671934,0.0,0.0,0.0,3198.444338997035
2011-10-20,2752.41850197104,1029.3635788452596,5048.394433254002,2752.41850197104,2752.41850197104,381.48438778446894,381.48438778446894,381.48438778446894,867.6563831356904,867.6563831356904,867.6563831356904,-486.1719953512215,-486.1719953512215,-486.1719953512215,0.0,0.0,0.0,3133.902889755509
2011-10-21,2754.175058310572,1483.7103565142054,5501.43822494717,2754.175058310572,2754.175058310572,684.3738804472309,684.3738804472309,684.3738804472309,1124.5339364668769,1124.5339364668769,1124.5339364668769,-440.16005601964605,-440.16005601964605,-440.16005601964605,0.0,0.0,0.0,3438.5489387578027
2011-10-22,2755.9316146501037,-1175.0030848339136,2984.822789530483,2755.9316146501037,2755.9316146501037,-1842.0737405991304,-1842.0737405991304,-1842.0737405991304,-1462.4131262675014,-1462.4131262675014,-1462.4131262675014,-379.6606143316287,-379.6606143316287,-379.6606143316287,0.0,0.0,0.0,913.8578740509734
2011-10-24,2759.444727329168,1256.8719010246834,5473.5167043452575,2759.444727329168,2759.444727329168,651.7090515048915,651.7090515048915,651.7090515048915,869.4816339506073,869.4816339506073,869.4816339506073,-217.77258244571587,-217.77258244571587,-217.77258244571587,0.0,0.0,0.0,3411.1537788340593
2011-10-25,2761.2012836687,1670.7875818227876,5773.822939112499,2761.2012836687,2761.2012836687,890.9194082296707,890.9194082296707,890.9194082296707,1009.1670890597992,1009.1670890597992,1009.1670890597992,-118.24768083012842,-118.24768083012842,-118.24768083012842,0.0,0.0,0.0,3652.1206918983708
2011-10-26,2762.957840008232,1706.907130135831,5617.742873764172,2762.957840008232,2762.957840008232,957.1962025800306,957.1962025800306,957.1962025800306,965.1340196348185,965.1340196348185,965.1340196348185,-7.937817054788047,-7.937817054788047,-7.937817054788047,0.0,0.0,0.0,3720.154042588262
2011-10-27,2764.714396347764,1607.29924864852,5696.12032218888,2764.714396347764,2764.714396347764,979.368771367283,979.368771367283,979.368771367283,867.6563831350576,867.6563831350576,867.6563831350576,111.71238823222542,111.71238823222542,111.71238823222542,0.0,0.0,0.0,3744.083167715047
2011-10-28,2766.470952687296,2057.834433737779,6108.280042612195,2766.470952687296,2766.470952687296,1363.6257809514548,1363.6257809514548,1363.6257809514548,1124.533936468023,1124.533936468023,1124.533936468023,239.09184448343186,239.09184448343186,239.09184448343186,0.0,0.0,0.0,4130.096733638751
2011-10-29,2768.227509026828,-240.44954000400702,3765.0853906245866,2768.227509026828,2768.227509026828,-1089.9622204973414,-1089.9622204973414,-1089.9622204973414,-1462.4131262728968,-1462.4131262728968,-1462.4131262728968,372.4509057755552,372.4509057755552,372.4509057755552,0.0,0.0,0.0,1678.2652885294867
2011-10-30,2769.9840653663605,-2094.489651476021,1934.5147044478874,2769.9840653663605,2769.9840653663605,-2863.627198946349,-2863.627198946349,-2863.627198946349,-3373.55993597349,-3373.55993597349,-3373.55993597349,509.9327370271416,509.9327370271416,509.9327370271416,0.0,0.0,0.0,-93.64313357998844
2011-10-31,2771.7406217058924,2229.4443560106815,6183.860463961443,2771.7406217058924,2771.7406217058924,1519.0891457747227,1519.0891457747227,1519.0891457747227,869.4816339525745,869.4816339525745,869.4816339525745,649.607511822148,649.607511822148,649.607511822148,0.0,0.0,0.0,4290.829767480615
2011-11-01,2773.4971780454243,2524.0628106611125,6604.993867068606,2773.4971780454243,2773.4971780454243,1798.6758266308495,1798.6758266308495,1798.6758266308495,1009.1670890593216,1009.1670890593216,1009.1670890593216,789.5087375715278,789.5087375715278,789.5087375715278,0.0,0.0,0.0,4572.173004676274
2011-11-02,2775.2537343849563,2684.822783177858,6611.945165758244,2775.2537343849563,2775.2537343849563,1892.8049545689146,1892.8049545689146,1892.8049545689146,965.1340196315628,965.1340196315628,965.1340196315628,927.6709349373517,927.6709349373517,927.6709349373517,0.0,0.0,0.0,4668.058688953871
2011-11-03,2777.010290724488,2748.5449271727953,6876.792621168566,2777.010290724488,2777.010290724488,1929.8242303857762,1929.8242303857762,1929.8242303857762,867.6563831370049,867.6563831370049,867.6563831370049,1062.1678472487713,1062.1678472487713,1062.1678472487713,0.0,0.0,0.0,4706.834521110264
2011-11-04,2778.76684706402,2971.6769805290473,7161.807305848834,2778.76684706402,2778.76684706402,2315.6842603029786,2315.6842603029786,2315.6842603029786,1124.5339364703682,1124.5339364703682,1124.5339364703682,1191.15032383261,1191.15032383261,1191.15032383261,0.0,0.0,0.0,5094.451107366998
2011-11-05,2780.5234034035525,627.5745646990782,4773.197257433676,2780.5234034035525,2780.5234034035525,-149.53011625249042,-149.53011625249042,-149.53011625249042,-1462.413126274321,-1462.413126274321,-1462.413126274321,1312.8830100218306,1312.8830100218306,1312.8830100218306,0.0,0.0,0.0,2630.993287151062
2011-11-06,2782.2799597430844,-1185.0877794913483,2863.0946542588126,2782.2799597430844,2782.2799597430844,-1947.7809490734305,-1947.7809490734305,-1947.7809490734305,-3373.5599359703897,-3373.5599359703897,-3373.5599359703897,1425.778986896959,1425.778986896959,1425.778986896959,0.0,0.0,0.0,834.4990106696539
2011-11-07,2784.0365160826163,3075.546660021698,7300.039177078012,2784.0365160826163,2784.0365160826163,2397.913169703089,2397.913169703089,2397.913169703089,869.4816339485463,869.4816339485463,869.4816339485463,1528.4315357545424,1528.4315357545424,1528.4315357545424,0.0,0.0,0.0,5181.949685785705
2011-11-08,2785.7930724221487,3423.834575755164,7337.683265886859,2785.7930724221487,2785.7930724221487,2628.809344585319,2628.809344585319,2628.809344585319,1009.1670890592611,1009.1670890592611,1009.1670890592611,1619.6422555260583,1619.6422555260583,1619.6422555260583,0.0,0.0,0.0,5414.602417007468
2011-11-09,2787.5496287616807,3369.722385035488,7436.50459165679,2787.5496287616807,2787.5496287616807,2663.5788545738164,2663.5788545738164,2663.5788545738164,965.1340196336599,965.1340196336599,965.1340196336599,1698.4448349401562,1698.4448349401562,1698.4448349401562,0.0,0.0,0.0,5451.128483335497
2011-11-10,2789.306185101213,3482.297239032422,7438.851784757642,2789.306185101213,2789.306185101213,2631.7802567898607,2631.7802567898607,2631.7802567898607,867.6563831389523,867.6563831389523,867.6563831389523,1764.1238736509083,1764.1238736509083,1764.1238736509083,0.0,0.0,0.0,5421.086441891073
2011-11-11,2791.062741440745,3866.074688345487,7805.131700802139,2791.062741440745,2791.062741440745,2940.7621922833996,2940.7621922833996,2940.7621922833996,1124.533936466847,1124.533936466847,1124.533936466847,1816.228255816552,1816.228255816552,1816.228255816552,0.0,0.0,0.0,5731.824933724145
